,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MCD,MCD,MCD,MCD,MCD,MCD
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2019-01-02,38.72249984741211,39.712501525878906,38.557498931884766,39.47999954223633,37.94325637817383,148158800,99.55000305175781,101.75,98.94000244140625,101.12000274658203,96.2181625366211,35329300,175.41000366210938,176.3000030517578,174.1699981689453,176.05999755859375,157.76930236816406,2571500
2019-01-03,35.994998931884766,36.43000030517578,35.5,35.54750061035156,34.16383743286133,365248800,100.0999984741211,100.19000244140625,97.19999694824219,97.4000015258789,92.6784896850586,42579100,175.4499969482422,176.4499969482422,174.41000366210938,174.89999389648438,156.72984313964844,3728200
2019-01-04,36.13249969482422,37.13750076293945,35.95000076293945,37.064998626708984,35.62225341796875,234428400,99.72000122070312,102.51000213623047,98.93000030517578,101.93000030517578,96.9889144897461,44060600,176.02999877929688,179.1999969482422,175.69000244140625,178.27999877929688,159.7587127685547,3194300
2019-01-07,37.17499923706055,37.20750045776367,36.474998474121094,36.98249816894531,35.542964935302734,219111200,101.63999938964844,103.2699966430664,100.9800033569336,102.05999755859375,97.11257934570312,35656100,178.13999938964844,181.8800048828125,178.13999938964844,180.22000122070312,161.49716186523438,3283000
2019-01-08,37.38999938964844,37.95500183105469,37.130001068115234,37.6875,36.22052764892578,164101200,103.04000091552734,103.97000122070312,101.70999908447266,102.80000305175781,97.81674194335938,31514400,181.9600067138672,182.2899932861328,179.91000366210938,180.60000610351562,161.8376922607422,2941400
2019-01-09,37.8224983215332,38.63249969482422,37.407501220703125,38.32749938964844,36.83561706542969,180396400,103.86000061035156,104.87999725341797,103.23999786376953,104.2699966430664,99.21546173095703,32280800,180.55999755859375,180.89999389648438,179.19000244140625,180.2899932861328,161.55987548828125,2680700
2019-01-10,38.125,38.49250030517578,37.71500015258789,38.45000076293945,36.953346252441406,143122800,103.22000122070312,103.75,102.37999725341797,103.5999984741211,98.57793426513672,30067600,179.83999633789062,181.8800048828125,179.32000732421875,181.5500030517578,162.68899536132812,2498500
2019-01-11,38.220001220703125,38.42499923706055,37.877498626708984,38.0724983215332,36.59054183959961,108092800,103.19000244140625,103.44000244140625,101.63999938964844,102.80000305175781,97.81674194335938,28314200,180.58999633789062,182.39999389648438,180.4600067138672,182.3699951171875,163.423828125,2348900
2019-01-14,37.712501525878906,37.817501068115234,37.30500030517578,37.5,36.04032516479492,129756800,101.9000015258789,102.87000274658203,101.26000213623047,102.05000305175781,97.10308074951172,28437100,181.4199981689453,181.75,180.69000244140625,181.22000122070312,162.39324951171875,1886200
2019-01-15,37.567501068115234,38.34749984741211,37.51250076293945,38.26750183105469,36.777957916259766,114843600,102.51000213623047,105.05000305175781,101.87999725341797,105.01000213623047,99.91958618164062,31587600,181.47000122070312,183.2100067138672,180.74000549316406,181.02000427246094,162.2140350341797,3860200
2019-01-16,38.27000045776367,38.970001220703125,38.25,38.73500061035156,37.22725296020508,122278800,105.26000213623047,106.26000213623047,104.95999908447266,105.37999725341797,100.27165222167969,29853900,180.94000244140625,181.52999877929688,179.13999938964844,179.35000610351562,160.71755981445312,3375600
2019-01-17,38.54999923706055,39.415000915527344,38.314998626708984,38.96500015258789,37.44830322265625,119284800,105.0,106.62999725341797,104.76000213623047,106.12000274658203,100.97578430175781,28393000,179.25,181.11000061035156,179.02999877929688,181.11000061035156,162.294677734375,3061000
2019-01-18,39.375,39.470001220703125,38.994998931884766,39.20500183105469,37.678958892822266,135004000,107.45999908447266,107.9000015258789,105.91000366210938,107.70999908447266,102.48871612548828,37427600,183.0399932861328,183.25999450683594,180.94000244140625,182.57000732421875,163.60305786132812,3498000
2019-01-22,39.102500915527344,39.182498931884766,38.154998779296875,38.32500076293945,36.83321762084961,121576000,106.75,107.0999984741211,104.86000061035156,105.68000030517578,100.55709838867188,32371300,182.25,185.47999572753906,182.25,184.57000732421875,165.39524841308594,3190300
2019-01-23,38.537498474121094,38.78499984741211,37.92499923706055,38.47999954223633,36.98218536376953,92522400,106.12000274658203,107.04000091552734,105.33999633789062,106.70999908447266,101.53717803955078,25874300,184.77999877929688,186.1699981689453,184.11000061035156,186.08999633789062,166.75730895996094,2530700
2019-01-24,38.52750015258789,38.619998931884766,37.935001373291016,38.17499923706055,36.68905258178711,101766000,106.86000061035156,107.0,105.33999633789062,106.19999694824219,101.05191040039062,23164800,186.86000061035156,187.8800048828125,185.94000244140625,187.3699951171875,167.90435791015625,3214200
2019-01-25,38.869998931884766,39.532501220703125,38.58000183105469,39.439998626708984,37.90481185913086,134142000,107.23999786376953,107.87999725341797,106.19999694824219,107.16999816894531,101.97488403320312,31225600,188.77000427246094,189.4199981689453,183.92999267578125,184.0,164.8844757080078,4405600
2019-01-28,38.9474983215332,39.08250045776367,38.415000915527344,39.07500076293945,37.55402374267578,104768400,106.26000213623047,106.4800033569336,104.66000366210938,105.08000183105469,99.9862060546875,29476700,183.05999755859375,183.72000122070312,181.8300018310547,183.60000610351562,164.52603149414062,4138700
2019-01-29,39.0625,39.532501220703125,38.52750015258789,38.66999816894531,37.16478729248047,166348800,104.87999725341797,104.97000122070312,102.16999816894531,102.94000244140625,97.9499282836914,31490500,183.27999877929688,183.72000122070312,180.97000122070312,182.1699981689453,163.24459838867188,3666700
2019-01-30,40.8125,41.537498474121094,40.057498931884766,41.3125,39.70442581176758,244439200,104.62000274658203,106.37999725341797,104.33000183105469,106.37999725341797,101.22317504882812,49471900,182.9199981689453,187.7899932861328,178.6699981689453,181.77000427246094,162.88613891601562,9489900
2019-01-31,41.52750015258789,42.25,41.13999938964844,41.61000061035156,39.990352630615234,162958400,103.80000305175781,105.22000122070312,103.18000030517578,104.43000030517578,99.36770629882812,55636400,180.25,181.85000610351562,176.8699951171875,178.77999877929688,160.2067413330078,10440100
2019-02-01,41.7400016784668,42.244998931884766,41.48249816894531,41.630001068115234,40.00956726074219,130672400,103.77999877929688,104.0999984741211,102.3499984741211,102.77999877929688,97.79767608642578,35535700,179.5500030517578,180.49000549316406,176.47999572753906,176.72000122070312,158.36074829101562,6529200
2019-02-04,41.852500915527344,42.915000915527344,41.81999969482422,42.8125,41.146034240722656,125982000,102.87000274658203,105.80000305175781,102.7699966430664,105.73999786376953,100.61419677734375,31315100,177.2899932861328,177.77999877929688,175.66000366210938,177.5500030517578,159.1045379638672,4533800
2019-02-05,43.21500015258789,43.77000045776367,43.087501525878906,43.54499816894531,41.85001754760742,144406400,106.05999755859375,107.2699966430664,105.95999908447266,107.22000122070312,102.02245330810547,27325400,177.7100067138672,179.4199981689453,177.22000122070312,177.57000732421875,159.12245178222656,4495900
2019-02-06,43.662498474121094,43.89250183105469,43.212501525878906,43.560001373291016,41.86444091796875,112958400,107.0,107.0,105.52999877929688,106.02999877929688,100.89012908935547,20609800,177.5500030517578,177.5500030517578,175.99000549316406,176.17999267578125,157.87686157226562,3965200
2019-02-07,43.099998474121094,43.48500061035156,42.584999084472656,42.73500061035156,41.071556091308594,126966800,105.19000244140625,105.58999633789062,104.29000091552734,105.2699966430664,100.1669921875,29760700,176.0,176.25999450683594,174.30999755859375,175.27999877929688,157.07037353515625,4176300
2019-02-08,42.247501373291016,42.665000915527344,42.10499954223633,42.602500915527344,41.11981201171875,95280000,104.38999938964844,105.77999877929688,104.26000213623047,105.66999816894531,100.54761505126953,21461100,174.77000427246094,175.47000122070312,174.39999389648438,174.75,156.59544372558594,4051600
2019-02-11,42.76250076293945,42.8025016784668,42.3125,42.35749816894531,40.88334274291992,83973600,106.19999694824219,106.58000183105469,104.97000122070312,105.25,100.14794921875,18914100,175.24000549316406,175.89999389648438,174.1699981689453,174.25999450683594,156.1563262939453,3216400
2019-02-12,42.525001525878906,42.75,42.42499923706055,42.72249984741211,41.23564147949219,89134000,106.13999938964844,107.13999938964844,105.4800033569336,106.88999938964844,101.70846557617188,25056600,174.7899932861328,175.27999877929688,173.8000030517578,173.97000122070312,155.89645385742188,4692800
2019-02-13,42.84749984741211,43.119998931884766,42.47999954223633,42.54499816894531,41.06431579589844,89960800,107.5,107.77999877929688,106.70999908447266,106.80999755859375,101.63232421875,18394900,174.0,174.66000366210938,173.75,174.14999389648438,156.05772399902344,5283000
2019-02-14,42.4275016784668,42.814998626708984,42.345001220703125,42.70000076293945,41.213932037353516,87342800,106.30999755859375,107.29000091552734,105.66000366210938,106.9000015258789,101.71795654296875,21784700,173.92999267578125,176.44000244140625,173.41000366210938,175.8699951171875,157.59902954101562,4428800
2019-02-15,42.8125,42.92499923706055,42.4375,42.60499954223633,41.122222900390625,98507200,107.91000366210938,108.30000305175781,107.36000061035156,108.22000122070312,102.97396087646484,26606900,177.27999877929688,179.97999572753906,177.00999450683594,179.97000122070312,161.27313232421875,4648600
2019-02-19,42.4275016784668,42.86000061035156,42.372501373291016,42.73249816894531,41.24528884887695,75891200,107.79000091552734,108.66000366210938,107.77999877929688,108.16999816894531,102.92640686035156,18038500,181.11000061035156,181.89999389648438,179.16000366210938,179.25,160.62791442871094,4765400
2019-02-20,42.79750061035156,43.33000183105469,42.747501373291016,43.00749969482422,41.51072311401367,104457600,107.86000061035156,107.94000244140625,106.29000091552734,107.1500015258789,102.39127349853516,21607700,179.47000122070312,180.9199981689453,179.33999633789062,180.49000549316406,161.7390594482422,3707400
2019-02-21,42.95000076293945,43.092498779296875,42.57500076293945,42.76499938964844,41.27666473388672,68998800,106.9000015258789,109.4800033569336,106.87000274658203,109.41000366210938,104.5509262084961,29063200,180.4499969482422,183.33999633789062,180.39999389648438,182.80999755859375,163.8180694580078,4391000
2019-02-22,42.89500045776367,43.25,42.845001220703125,43.24250030517578,41.73754119873047,75652800,110.05000305175781,111.19999694824219,109.81999969482422,110.97000122070312,106.04163360595703,27763200,182.97999572753906,183.41000366210938,182.0,183.1699981689453,164.14065551757812,3073500
2019-02-25,43.540000915527344,43.967498779296875,43.48749923706055,43.557498931884766,42.04157638549805,87493600,111.76000213623047,112.18000030517578,111.26000213623047,111.58999633789062,106.63409423828125,23750600,183.92999267578125,184.7100067138672,182.41000366210938,182.61000061035156,163.6388397216797,3090800
2019-02-26,43.4275016784668,43.82500076293945,43.29249954223633,43.58250045776367,42.065711975097656,68280800,111.26000213623047,113.23999786376953,111.16999816894531,112.36000061035156,107.36988830566406,21536700,183.44000244140625,183.80999755859375,182.47000122070312,183.2100067138672,164.17652893066406,2219100
2019-02-27,43.3025016784668,43.75,43.182498931884766,43.717498779296875,42.196006774902344,111341600,111.69000244140625,112.36000061035156,110.87999725341797,112.16999816894531,107.1883316040039,21487100,183.07000732421875,184.05999755859375,182.83999633789062,183.36000061035156,164.31094360351562,2261700
2019-02-28,43.58000183105469,43.727500915527344,43.22999954223633,43.287498474121094,41.78097152709961,112861600,112.04000091552734,112.87999725341797,111.7300033569336,112.02999877929688,107.0545425415039,29083900,182.1300048828125,183.97999572753906,182.00999450683594,183.83999633789062,165.7899169921875,3297900
2019-03-01,43.56999969482422,43.787498474121094,43.22249984741211,43.74250030517578,42.22013473510742,103544800,112.88999938964844,113.0199966430664,111.66999816894531,112.52999877929688,107.53234100341797,23501200,184.58999633789062,185.64999389648438,184.07000732421875,185.0500030517578,166.8811492919922,2691000
2019-03-04,43.92250061035156,44.4375,43.49250030517578,43.962501525878906,42.43247985839844,109744800,113.0199966430664,113.25,110.80000305175781,112.26000213623047,107.27434539794922,26608000,184.5500030517578,184.72999572753906,179.6999969482422,180.58999633789062,162.85902404785156,4899800
2019-03-05,43.98500061035156,44.0,43.6349983215332,43.88249969482422,42.35527420043945,78949600,112.25,112.38999938964844,111.2300033569336,111.69999694824219,106.73918914794922,19538300,180.60000610351562,181.75,180.35000610351562,181.35000610351562,163.5443878173828,3362500
2019-03-06,43.66749954223633,43.872501373291016,43.48500061035156,43.630001068115234,42.11155319213867,83241600,111.87000274658203,112.66000366210938,111.43000030517578,111.75,106.7869873046875,17687000,182.0,183.4600067138672,181.89999389648438,182.02999877929688,164.1576385498047,2083900
2019-03-07,43.467498779296875,43.61000061035156,43.005001068115234,43.125,41.62412643432617,99185600,111.4000015258789,111.55000305175781,109.87000274658203,110.38999938964844,105.48738861083984,25339000,182.1199951171875,182.38999938964844,179.9499969482422,180.52000427246094,162.79586791992188,3268100
2019-03-08,42.58000183105469,43.26750183105469,42.375,43.227500915527344,41.72305679321289,95997600,109.16000366210938,110.70999908447266,108.80000305175781,110.51000213623047,105.60205078125,22818400,179.75,180.0,178.27000427246094,179.5,161.8760528564453,2757200
2019-03-11,43.872501373291016,44.779998779296875,43.837501525878906,44.724998474121094,43.16844177246094,128044000,110.98999786376953,112.94999694824219,110.9800033569336,112.83000183105469,107.81902313232422,26491600,180.0,181.1199951171875,179.8000030517578,181.0800018310547,163.30091857910156,2071500
2019-03-12,45.0,45.66749954223633,44.842498779296875,45.227500915527344,43.65345764160156,129870400,112.81999969482422,113.98999786376953,112.6500015258789,113.62000274658203,108.57392883300781,26132700,181.6699981689453,182.10000610351562,180.66000366210938,181.8300018310547,163.97726440429688,2191800
2019-03-13,45.5625,45.82500076293945,45.22999954223633,45.4275016784668,43.846492767333984,124130000,114.12999725341797,115.0,113.77999877929688,114.5,109.41484832763672,35513800,182.52000427246094,183.17999267578125,181.6999969482422,182.05999755859375,164.18467712402344,2612100
2019-03-14,45.974998474121094,46.025001525878906,45.63999938964844,45.932498931884766,44.33392333984375,94318000,114.54000091552734,115.19999694824219,114.33000183105469,114.58999633789062,109.50084686279297,30763400,181.99000549316406,182.77999877929688,180.6699981689453,182.74000549316406,164.79791259765625,2375300
2019-03-15,46.212501525878906,46.83250045776367,45.935001373291016,46.529998779296875,44.91062927246094,156171600,115.33999633789062,117.25,114.58999633789062,115.91000366210938,110.7622299194336,54681100,183.27000427246094,185.4600067138672,182.11000061035156,185.3300018310547,167.13363647460938,6010500
2019-03-18,46.45000076293945,47.09749984741211,46.4474983215332,47.005001068115234,45.36909103393555,104879200,116.16999816894531,117.61000061035156,116.05000305175781,117.56999969482422,112.34850311279297,31207600,185.97999572753906,186.25999450683594,183.41000366210938,183.9499969482422,165.88912963867188,3669200
2019-03-19,47.087501525878906,47.247501373291016,46.47999954223633,46.63249969482422,45.00956344604492,126585600,118.08999633789062,118.44000244140625,116.98999786376953,117.6500015258789,112.42496490478516,37588700,184.05999755859375,184.3699951171875,182.52999877929688,183.11000061035156,165.13157653808594,4102800
2019-03-20,46.557498931884766,47.372501373291016,46.182498931884766,47.040000915527344,45.40287780761719,124140800,117.38999938964844,118.75,116.70999908447266,117.5199966430664,112.30072021484375,28113300,183.3800048828125,185.36000061035156,182.32000732421875,184.97000122070312,166.80899047851562,3522400
2019-03-21,47.505001068115234,49.08250045776367,47.45249938964844,48.772499084472656,47.07508087158203,204136800,117.13999938964844,120.81999969482422,117.08999633789062,120.22000122070312,114.88081359863281,29854400,184.44000244140625,186.6300048828125,184.42999267578125,186.3699951171875,168.0714874267578,2830200
2019-03-22,48.834999084472656,49.42250061035156,47.69499969482422,47.76250076293945,46.10023880004883,169630800,119.5,119.58999633789062,117.04000091552734,117.05000305175781,111.85160827636719,33624500,185.9600067138672,188.64999389648438,185.94000244140625,186.80999755859375,168.46832275390625,3319600
2019-03-25,47.877498626708984,47.994998931884766,46.650001525878906,47.185001373291016,45.5428352355957,175381200,116.55999755859375,118.01000213623047,116.31999969482422,117.66000366210938,112.43450927734375,27067100,186.25,186.4600067138672,184.00999450683594,185.72000122070312,167.48533630371094,2651600
